"simplified";"traditional";"pinyin";"description"
"白鸽粥";"白鴿粥";"baak4 gaap3 zuk1";"一种加入鸽子肉熬制的粥类食物"
"白日";"白日";"baak4 njat4";"白天"
"白日堂天";"白日堂天";"baak4 njat4 tong4 tin1";"大白天"
"白𤾵𤾵";"白𤾵𤾵";"baak4 pet4 pet4";"（形容纸、墙、粉末等）成片白色的样子。"
"白";"白";"baak4 pung1 pung1";"（形容水雾、棉毛、衣物等）蓬白的样子，见“”。"
"白薯䊦";"白薯䊦";"baak4 si4 et3";"一种用糯米粉包糖心（多为黑芝麻馅）做成的糕点：~，又得食，又得捏。"
"白头雪";"白頭雪";"baak4 tau4 slit3";"霜，一种天气现象。"
"白话";"白話";"baak4 waa4";"粤语的俗称"
"白斩鸡";"白斬雞";"baak4 zaam2 gai1";"白切鸡"
"白净";"白淨";"baak4 zeng4";"（肌肤）白皙，白嫩"
"白果";"白果";"baak4 gwo2";"银杏种子：～猪肚煲。（图自：https://commons.wikimedia.org/wiki/File:Ginkgo_Seed.JPG）"
"白虾弄波，风起便和";"白蝦弄波，風起便和";"baak4 haa1 lung4 bo1,fung1 hi2 bin4 wo4";"钦州农谚：有白对虾浮上水面，风就平息了。"
"班辈";"班輩";"baan1 bui3";"即字辈，是指名字中用于表示家族辈份的字：我～系“扬”字辈。"
"班车";"班車";"baan1 ce1";"有固定的时间、批次和行驶路线的客运汽车"
"班房";"班房";"baan1 fong4";"牢房：坐～。"
"𢴬炮";"𢴬炮";"baan3 paau3";"一种火药玩具，外层为纸内包火药，扔出后受力会爆炸：以前啲烂仔打交使～噶。"
"𢴬丢";"𢴬丟";"baan3 diu1";"扔掉，丢弃：等下你出街顺便～啲垃圾去。"
"办酒仔";"辦酒仔";"baan4 zau2 zai2";"儿童之间的过家家游戏"
"扮嘢";"扮嘢";"baan4 nje2";"①假装：你绝对识系边人做噶，冇使跟我～；②做作：佢一日到黑铺忧郁板，好～。"
"扮猪食老虎";"扮豬食老虎";"baan4 zi1 sik4 lau2 fu2";"比喻装疯卖傻或趁人不备以获取利益：只嘢识精哦，～攞走齐啲钱。"
"湴蛇";"湴蛇";"baang4 se4";"即泥蛇，游蛇科水蛇属，棕背黄腹，无毒，常见于水源附近。"
"湴沟坑";"湴溝坑";"baang4 gau1 haang1";"淤积的水沟，臭水沟。"
"八月十五";"八月十五";"baat3 njit4 sap4 ng2";"①中秋节；②比喻屁股：洗净～等食藤条焖猪肉！"
"八婆";"八婆";"baat3 po4";"好管闲事的、讨人厌的女子：只死～真系百厌！"
"八卦";"八卦";"baat3 gwaa3";"形容人爱说是非、多管闲事"
"八寨沟";"八寨溝";"baat3 zaai4 gau1";"位于十万大山腹地的贵台镇洞利村境内，是钦州大寺江的源头河之一，属十万大山支脉大龙岭分水岭水系，地处十万山北麓，为钦州著名景区"
"包场";"包場";"baau1 coeng4";"花钱包下饭店、影院等消费场所的某一区域"
"包㞘";"包㞘";"baau1 duk1";"垫底，在最后，排在末尾：你哋先走，我～。"
"包粟";"包粟";"baau1 sluk1";"玉米"
"包粽";"包糉";"baau1 zung3";"包粽子"
"包装带";"包裝帶";"baau1 zong1 daai3";"打包箱子或捆扎脚手架用的带子"
"龅牙";"齙牙";"baau3 ngaa4";"牙齿向唇外突出"
"爆油";"爆油";"baau3 jau4";"烹饪步骤，将食材过油"
"爆罅";"爆罅";"baau3 le3";"开裂：块玻璃～了。"
"爆满";"爆滿";"baau3 mun2";"人多到没有空位：间店生意好哦，日日都～。"
"爆料";"爆料";"baau3 liu4";"对外公布令人意外或吃惊的新闻、消息"
"爆芽";"爆芽";"baau3 ngaa4";"发芽"
"爆棚";"爆棚";"baau3 paang4";"同“爆满”"
"爆座";"爆座";"baau3 zo4";"同“爆满”"
"爆庄";"爆莊";"baau3 zong1";"赌博游戏中庄家输到无法继续进行：又输十杯，～了"
"爆戳";"爆戳";"baau3 cok3";"事情败露，坏事、丑闻等被揭发：佢十几年前贪污嘅事而今正着～出来。"
"跛脚";"跛腳";"bai1 goek3";"脚受伤影响正常功能：跌～。"
"跛佬";"跛佬";"bai1 lau2";"瘸子"
